year,wiki_ref,wiki_query,producer,distributor,name,country,director,cinematography,editing,studio,budget,gross,runtime,music,writer,starring,language,released
1973,/wiki/Papillon_(1973_film),Papillon_(1973_film),[[Robert Dorfmann]]<br>Franklin J. Schaffner<br>[[Ted Richmond]] {{small|(executive)}},[[Allied Artists Pictures Corporation|Allied Artists]] {{small|(USA)}} <br>[[Columbia Pictures]] {{small|(Non-USA)}},Papillon,United States<br>France,[[Franklin J. Schaffner]],[[Fred J. Koenekamp]],[[Robert Swink]],,$13.5 million,"$53,267,000",150 minutes,[[Jerry Goldsmith]],,[[Steve McQueen]]<br>[[Dustin Hoffman]],English,{{start date|1973|12|16}}
1973,/wiki/The_Way_We_Were,The_Way_We_Were,[[Ray Stark]],[[Columbia Pictures]],The Way We Were,United States,[[Sydney Pollack]],"[[Harry Stradling, Jr.]]",John F. Burnett<br>[[Margaret Booth]] (supervising),[[Rastar]],$15 million,$49 million,118 minutes,[[Marvin Hamlisch]],[[Arthur Laurents]],[[Barbra Streisand]]<br>[[Robert Redford]],English,{{Film date|1973|10|19}}
1973,/wiki/Magnum_Force,Magnum_Force,[[Robert Daley (filmmaker)|Robert Daley]],[[Warner Bros.]],Magnum Force,United States,[[Ted Post]],[[Frank Stanley (cinematographer)|Frank Stanley]],[[Ferris Webster]],[[The Malpaso Company]],,"$39,768,000",124 minutes,[[Lalo Schifrin]],,[[Clint Eastwood]]<br />[[Hal Holbrook]]<br />[[Mitchell Ryan]]<br />[[David Soul]]<br />[[Felton Perry]]<br />[[Robert Urich]]<br />[[Tim Matheson]],English,{{Film date|1973|12|25}}
1973,/wiki/Last_Tango_in_Paris,Last_Tango_in_Paris,[[Alberto Grimaldi]],[[United Artists]],Last Tango in Paris,"{{Plainlist|
* Italy
* France}}",[[Bernardo Bertolucci]],[[Vittorio Storaro]],"{{Plainlist|
* Franco Arcalli
* [[Roberto Perpignani]]}}",[[Alberto Grimaldi|Produzioni Europee Associati (PEA)]]<br />[[Les Productions Artistes Associés]],$1.25&nbsp;million,$96.3&nbsp;million,129 minutes (original NC-17/X-rated version) <br />250 minutes (rough cut),[[Gato Barbieri]],,"{{Plainlist|
* [[Marlon Brando]]
* [[Maria Schneider (actress)|Maria Schneider]]
* [[Jean-Pierre Léaud]]}}","{{Plainlist|
* English
* French}}",{{Film date|df|=|y|1972|10|14|[[New York Film Festival|NY]]|1972|12|15|FRA/ITA|1973|2|7|US}}
1973,/wiki/Live_and_Let_Die_(film),Live_and_Let_Die_(film),[[Harry Saltzman]]<br />[[Albert R. Broccoli]],[[United Artists]],Live and Let Die,United Kingdom,[[Guy Hamilton]],[[Ted Moore]],"{{Plain list | 
* [[Bert Bates]]
* [[Raymond Poulton]]
* John Shirley}}",[[Eon Productions]],$7 million,$161.8 million,121 minutes,[[George Martin]]; Title song composed by Paul McCartney. Performed by Paul McCartney and Wings,,"{{Plain list | 
* [[Roger Moore]]
* [[Yaphet Kotto]]
* [[Jane Seymour (actress)|Jane Seymour]]
* [[Julius Harris]]}}",English,{{Film date|df|=|y|1973|6|27|United States|1973|7|6|United Kingdom}}
1973,/wiki/Robin_Hood_(1973_film),Robin_Hood_(1973_film),Wolfgang Reitherman,[[Walt Disney Studios Motion Pictures|Buena Vista Distribution]],Robin Hood,United States,[[Wolfgang Reitherman]],,,[[Walt Disney Animation Studios|Walt Disney Productions]],$5 million,$32 million,83 minutes,[[George Bruns]],,"{{plainlist| 
* [[Phil Harris]] 
* [[Andy Devine]] 
* [[Peter Ustinov]] 
* [[Terry-Thomas]] 
* [[Brian Bedford]] 
* [[Monica Evans]] 
* [[Carole Shelley]] 
* [[Pat Buttram]] 
* [[Roger Miller]]}}",English,{{film date|1973|11|8}}
1973,/wiki/Paper_Moon_(film),Paper_Moon_(film),{{ubl|[[Frank Marshall (film producer)|Frank Marshall]]|Peter Bogdanovich}},[[Paramount Pictures]],Paper Moon,United States,[[Peter Bogdanovich]],[[László Kovács (cinematographer)|László Kovács]],[[Verna Fields]],[[The Directors Company]],$2.5 million,$30.9 million,102 minutes,,,{{ubl|[[Ryan O'Neal]]|[[Madeline Kahn]]|[[John Hillerman]]|[[Tatum O'Neal]]}},English,{{Film date|1973|4|9|[[Hollywood]]|1973|5|9|United States}}
1973,/wiki/Bobby_(1973_film),Bobby_(1973_film),Raj Kapoor,R. K. Films,Bobby,India,[[Raj Kapoor]],[[Radhu Karmakar]],Raj Kapoor,[[R. K. Films]],,{{Estimation}} [[#Box office| {{INR}} 30.24 {{nbsp}} crore (US$36 {{nbsp}} million)]],169 minutes,[[Laxmikant–Pyarelal]],,[[Rishi Kapoor]]<br>[[Dimple Kapadia]]<br>[[Prem Nath]]<br>[[Pran (actor)|Pran]],[[Hindustani language|Hindi-Urdu]],{{start date|df|=|yes|1973|9|28}}
1974,/wiki/Blazing_Saddles,Blazing_Saddles,[[Michael Hertzberg]],[[Warner Bros.]],Blazing Saddles,United States,[[Mel Brooks]],[[Joseph Biroc]],"{{Plainlist|
* [[Danford B. Greene|Danford Greene]]
* [[John C. Howard]]}}",,$2.6 million,$119.6 million,93 minutes,"{{Plainlist|
* [[John Morris (composer)|John Morris]]
* '''Songs:'''
* Mel Brooks}}",,"{{Plainlist|
* [[Cleavon Little]]
* [[Gene Wilder]]
* [[Harvey Korman]]
* [[Slim Pickens]]
* [[Madeline Kahn]]
* Mel Brooks
* [[Dom DeLuise]]}}",English,{{Film date|1974|02|07}}
1974,/wiki/The_Towering_Inferno,The_Towering_Inferno,[[Irwin Allen]],[[20th Century Fox]]<br /><small>(United States)</small><br />[[Warner Bros.]]<br /><small>(International)</small>,The Towering Inferno,United States,[[John Guillermin]],[[Fred J. Koenekamp]]<br />[[Joseph Biroc]],[[Carl Kress]]<br />[[Harold F. Kress]],Irwin Allen Productions<br />United Films,$14 million,"{{plainlist|
* $116 million (US/CA)
* $43 million (foreign rental)}}",165 minutes,[[John Williams]],,[[Steve McQueen]]<br />[[Paul Newman]]<br />[[William Holden]]<br />[[Faye Dunaway]]<br />[[Fred Astaire]]<br />[[Susan Blakely]]<br />[[Richard Chamberlain]]<br />[[Jennifer Jones]]<br />[[O. J. Simpson]]<br />[[Robert Vaughn]]<br />[[Robert Wagner]],English,"December 14, 1974"
